Mod:Item:MetaData, Localized Name
forestry:beehives:5, Wintry Hive
forestry:beehives:6, Marshy Hive
forestry:candle:0, Unlit Candle
forestry:stump:0, Candle Stump
forestry:bee_combs_0:0, Honey Comb Block
forestry:bee_combs_0:2, Simmering Comb Block
forestry:bee_combs_0:3, Stringy Comb Block
forestry:bee_combs_0:4, Frozen Comb Block
forestry:bee_combs_0:5, Dripping Comb Block
forestry:bee_combs_0:6, Silky Comb Block
forestry:bee_combs_0:7, Parched Comb Block
forestry:bee_combs_0:15, Mossy Comb Block
forestry:bee_combs_1:0, Mellow Comb Block
forestry:alveary.plain:0, Alveary
forestry:alveary.swarmer:0, Alveary Swarmer
forestry:alveary.fan:0, Alveary Fan
forestry:alveary.heater:0, Alveary Heater
forestry:alveary.hygro:0, Alveary Hygroregulator
forestry:alveary.stabiliser:0, Alveary Stabiliser
forestry:alveary.sieve:0, Alveary Sieve
binniecore:glass:0, Empty Bottle
binniecore:glass:1, Apple Juice Bottle
binniecore:glass:1, Apricot Juice Bottle
binniecore:glass:1, Banana Juice Bottle
binniecore:glass:1, Cherry Juice Bottle
binniecore:glass:1, Elderberry Juice Bottle
binniecore:glass:1, Lemon Juice Bottle
binniecore:glass:1, Lime Juice Bottle
binniecore:glass:1, Orange Juice Bottle
binniecore:glass:1, Peach Juice Bottle
binniecore:glass:1, Plum Juice Bottle
binniecore:glass:1, Carrot Juice Bottle
binniecore:glass:1, Tomato Juice Bottle
binniecore:glass:1, Cranberry Juice Bottle
binniecore:glass:1, Grapefruit Juice Bottle
binniecore:glass:1, Olive Oil Bottle
binniecore:glass:1, Pineapple Juice Bottle
binniecore:glass:1, Pear Juice Bottle
binniecore:glass:1, White Grape Juice Bottle
binniecore:glass:1, Red Grape Juice Bottle
binniecore:glass:1, Cider Bottle
binniecore:glass:1, Apricot Wine Bottle
binniecore:glass:1, Banana Wine Bottle
binniecore:glass:1, Cherry Wine Bottle
binniecore:glass:1, Elderberry Wine Bottle
binniecore:glass:1, Peach Cider Bottle
binniecore:glass:1, Pear Cider Bottle
binniecore:glass:1, Plum Wine Bottle
binniecore:glass:1, Carrot Wine Bottle
binniecore:glass:1, White Wine Bottle
binniecore:glass:1, Red Wine Bottle
binniecore:glass:1, Sparkling Wine Bottle
binniecore:glass:1, Agave Wine Bottle
binniecore:glass:1, Fermented Potatoes Bottle
binniecore:glass:1, Citrus Wine Bottle
binniecore:glass:1, Cranberry Wine Bottle
binniecore:glass:1, Pineapple Wine Bottle
binniecore:glass:1, Tomato Wine Bottle
binniecore:glass:1, Fruit Wine Bottle
binniecore:glass:1, Ale Bottle
binniecore:glass:1, Lager Bottle
binniecore:glass:1, Wheat Beer Bottle
binniecore:glass:1, Rye Beer Bottle
binniecore:glass:1, Corn Beer Bottle
binniecore:glass:1, Stout Bottle
binniecore:glass:1, Fermented Grain Mash Bottle
binniecore:glass:1, Fermented Wheat Mash Bottle
binniecore:glass:1, Fermented Rye Mash Bottle
binniecore:glass:1, Fermented Corn Mash Bottle
binniecore:glass:1, Neutral Spirit Bottle
binniecore:glass:1, Vodka Bottle
binniecore:glass:1, White Rum Bottle
binniecore:glass:1, Dark Rum Bottle
binniecore:glass:1, Whiskey Bottle
binniecore:glass:1, Bourbon Bottle
binniecore:glass:1, Rye Whiskey Bottle
binniecore:glass:1, Wheat Whiskey Bottle
binniecore:glass:1, Fortified Wine Bottle
binniecore:glass:1, Tequila Bottle
binniecore:glass:1, Brandy Bottle
binniecore:glass:1, Apple Brandy Bottle
binniecore:glass:1, Pear Brandy Bottle
binniecore:glass:1, Apricot Brandy Bottle
binniecore:glass:1, Plum Brandy Bottle
binniecore:glass:1, Cherry Brandy Bottle
binniecore:glass:1, Elderberry Brandy Bottle
binniecore:glass:1, Citrus Brandy Bottle
binniecore:glass:1, Fruit Brandy Bottle
binniecore:glass:1, Cachaca Bottle
binniecore:glass:1, Gin Bottle
binniecore:glass:1, Apple Liquor Bottle
binniecore:glass:1, Pear Liquor Bottle
binniecore:glass:1, Cherry Liquor Bottle
binniecore:glass:1, Elderberry Liquor Bottle
binniecore:glass:1, Apricot Liquor Bottle
binniecore:glass:1, Fruit Liquor Bottle
binniecore:glass:1, Almond Liqueur Bottle
binniecore:glass:1, Orange Liqueur Bottle
binniecore:glass:1, Banana Liqueur Bottle
binniecore:glass:1, Chocolate Liqueur Bottle
binniecore:glass:1, Mint Liqueur Bottle
binniecore:glass:1, Hazelnut Liqueur Bottle
binniecore:glass:1, Cinnamon Liqueur Bottle
binniecore:glass:1, Coffee Liqueur Bottle
binniecore:glass:1, Melon Liqueur Bottle
binniecore:glass:1, Anise Liqueur Bottle
binniecore:glass:1, Peach Liqueur Bottle
binniecore:glass:1, Lemon Liqueur Bottle
binniecore:glass:1, Herbal Liqueur Bottle
binniecore:glass:1, Cherry Liqueur Bottle
binniecore:glass:1, Blackcurrant Liqueur Bottle
binniecore:glass:1, Blackberry Liqueur Bottle
binniecore:glass:1, Raspberry Liqueur Bottle
binniecore:cylinder:0, Empty Cylinder
binniecore:cylinder:1, Growth Medium Cylinder
binniecore:cylinder:1, Bacteria Cylinder
binniecore:cylinder:1, Polymerising Bacteria Cylinder
binniecore:cylinder:1, Raw DNA Cylinder
binniecore:cylinder:1, Bacteria Vector Cylinder
binniecore:storage:0, Compartment
binniecore:storage:1, Copper Compartment
binniecore:storage:2, Bronze Compartment
binniecore:storage:3, Iron Compartment
binniecore:storage:4, Gold Compartment
binniecore:storage:5, Diamond Compartment
binniecore:field_kit, item.field_kit.name
binniecore:genesis, item.genesis.name
genetics:punnett_square, item.punnett_square.name
genetics:serum, item.serum.name
genetics:serum_array, item.serum_array.name
genetics:geneticdatabase:0, Gene Database
genetics:geneticdatabase:1, Master Gene Database
genetics:analyst, item.analyst.name
genetics:registry, item.registry.name
genetics:master_registry, item.master_registry.name
genetics:misc:0, Reinforced Casing
genetics:misc:1, DNA Dye
genetics:misc:2, Fluorescent Dye
genetics:misc:3, Enzyme
genetics:misc:4, Growth Medium
genetics:misc:5, Blank Sequence
genetics:misc:6, Empty Serum Vial
genetics:misc:7, Empty Serum Array
genetics:misc:8, Integrated Circuit Board
genetics:misc:9, Integrated CPU
genetics:misc:10, Integrated Casing
genetics:sequence, item.sequence.name
genetics:binnie.growth.medium, tile.genetics.fluid.geneticliquid.growthmedium.name
genetics:binnie.bacteria, tile.genetics.fluid.geneticliquid.bacteria.name
genetics:binnie.bacteria.poly, tile.genetics.fluid.geneticliquid.bacteriapoly.name
genetics:binnie.dna.raw, tile.genetics.fluid.geneticliquid.rawdna.name
genetics:binnie.bacteria.vector, tile.genetics.fluid.geneticliquid.bacteriavector.name
genetics:machine:0, Isolator
genetics:machine:1, Sequencer
genetics:machine:2, Polymeriser
genetics:machine:3, Inoculator
genetics:lab_machine:0, Lab Stand
genetics:lab_machine:1, Analyzer
genetics:lab_machine:2, Incubator
genetics:lab_machine:3, Genepool
genetics:lab_machine:4, Acclimatiser
genetics:adv_machine:0, Splicer
botany:ceramic:0, Aquamarine Ceramic Block
botany:ceramic:1, Black Ceramic Block
botany:ceramic:2, Deep Blue Ceramic Block
botany:ceramic:3, Red-Brown Ceramic Block
botany:ceramic:4, Dull Blue Ceramic Block
botany:ceramic:5, Light Brown Ceramic Block
botany:ceramic:6, Coral Ceramic Block
botany:ceramic:7, Crimson Ceramic Block
botany:ceramic:8, Cyan Ceramic Block
botany:ceramic:9, Dark Bronze Ceramic Block
botany:ceramic:10, Gray Ceramic Block
botany:ceramic:11, Dark Green Ceramic Block
botany:ceramic:12, Dark Beige Ceramic Block
botany:ceramic:13, Dark Olive Ceramic Block
botany:ceramic:14, Red-Orange Ceramic Block
botany:ceramic:15, Dark Salmon Ceramic Block
botany:ceramic:16, Dull Green Ceramic Block
botany:ceramic:17, Dark Slate Ceramic Block
botany:ceramic:18, Dark Teal Ceramic Block
botany:ceramic:19, Turquoise Ceramic Block
botany:ceramic:20, Purple Ceramic Block
botany:ceramic:21, Deep Pink Ceramic Block
botany:ceramic:22, Light Blue Ceramic Block
botany:ceramic:23, Dark Gray Ceramic Block
botany:ceramic:24, Blue Ceramic Block
botany:ceramic:25, Gold Ceramic Block
botany:ceramic:26, Bronze Ceramic Block
botany:ceramic:27, Dim Gray Ceramic Block
botany:ceramic:28, Green Ceramic Block
botany:ceramic:29, Pink Ceramic Block
botany:ceramic:30, Brick Red Ceramic Block
botany:ceramic:31, Indigo Ceramic Block
botany:ceramic:32, Beige Ceramic Block
botany:ceramic:33, Alice Blue Ceramic Block
botany:ceramic:34, Pale Yellow Ceramic Block
botany:ceramic:35, Light Gray Ceramic Block
botany:ceramic:36, Dark Turquoise Ceramic Block
botany:ceramic:37, Pale Blue Ceramic Block
botany:ceramic:38, Lime Ceramic Block
botany:ceramic:39, Light Green Ceramic Block
botany:ceramic:40, Magenta Ceramic Block
botany:ceramic:41, Maroon Ceramic Block
botany:ceramic:42, Light Mint Ceramic Block
botany:ceramic:43, Light Purple Ceramic Block
botany:ceramic:44, Light Slate Ceramic Block
botany:ceramic:45, Mint Ceramic Block
botany:ceramic:46, Purple-Red Ceramic Block
botany:ceramic:47, Pale Rose Ceramic Block
botany:ceramic:48, Navy Ceramic Block
botany:ceramic:49, Dark Yellow Ceramic Block
botany:ceramic:50, Olive Ceramic Block
botany:ceramic:51, Orange Ceramic Block
botany:ceramic:52, Pale Green Ceramic Block
botany:ceramic:53, Pale Turquoise Ceramic Block
botany:ceramic:54, Dull Pink Ceramic Block
botany:ceramic:55, Tan Ceramic Block
botany:ceramic:56, Pale Pink Ceramic Block
botany:ceramic:57, Light Mauve Ceramic Block
botany:ceramic:58, Dark Purple Ceramic Block
botany:ceramic:59, Red Ceramic Block
botany:ceramic:60, Dull Red Ceramic Block
botany:ceramic:61, Royal Blue Ceramic Block
botany:ceramic:62, Salmon Ceramic Block
botany:ceramic:63, Pale Brown Ceramic Block
botany:ceramic:64, Dark Mint Ceramic Block
botany:ceramic:65, Brown Ceramic Block
botany:ceramic:66, Sky Blue Ceramic Block
botany:ceramic:67, Slate Blue Ceramic Block
botany:ceramic:68, Slate Ceramic Block
botany:ceramic:69, Spring Green Ceramic Block
botany:ceramic:70, Steel Blue Ceramic Block
botany:ceramic:71, Pale Tan Ceramic Block
botany:ceramic:72, Teal Ceramic Block
botany:ceramic:73, Pale Purple Ceramic Block
botany:ceramic:74, Light Turquoise Ceramic Block
botany:ceramic:75, Mauve Ceramic Block
botany:ceramic:76, Pale Orange Ceramic Block
botany:ceramic:77, White Ceramic Block
botany:ceramic:78, Yellow Ceramic Block
botany:ceramic:79, Yellow-Green Ceramic Block
botany:stained, tile.null.name
botany:ceramicpattern, tile.null.name
botany:ceramicbrick:0, Aquamarine Ceramic Tile
botany:ceramicbrick:0, Black Ceramic Tile
botany:ceramicbrick:0, Deep Blue Ceramic Tile
botany:ceramicbrick:0, Red-Brown Ceramic Tile
botany:ceramicbrick:0, Dull Blue Ceramic Tile
botany:ceramicbrick:0, Light Brown Ceramic Tile
botany:ceramicbrick:0, Coral Ceramic Tile
botany:ceramicbrick:0, Crimson Ceramic Tile
botany:ceramicbrick:0, Cyan Ceramic Tile
botany:ceramicbrick:0, Dark Bronze Ceramic Tile
botany:ceramicbrick:0, Gray Ceramic Tile
botany:ceramicbrick:0, Dark Green Ceramic Tile
botany:ceramicbrick:0, Dark Beige Ceramic Tile
botany:ceramicbrick:0, Dark Olive Ceramic Tile
botany:ceramicbrick:0, Red-Orange Ceramic Tile
botany:ceramicbrick:0, Dark Salmon Ceramic Tile
botany:ceramicbrick:0, Dull Green Ceramic Tile
botany:ceramicbrick:0, Dark Slate Ceramic Tile
botany:ceramicbrick:0, Dark Teal Ceramic Tile
botany:ceramicbrick:0, Turquoise Ceramic Tile
botany:ceramicbrick:0, Purple Ceramic Tile
botany:ceramicbrick:0, Deep Pink Ceramic Tile
botany:ceramicbrick:0, Light Blue Ceramic Tile
botany:ceramicbrick:0, Dark Gray Ceramic Tile
botany:ceramicbrick:0, Blue Ceramic Tile
botany:ceramicbrick:0, Gold Ceramic Tile
botany:ceramicbrick:0, Bronze Ceramic Tile
botany:ceramicbrick:0, Dim Gray Ceramic Tile
botany:ceramicbrick:0, Green Ceramic Tile
botany:ceramicbrick:0, Pink Ceramic Tile
botany:ceramicbrick:0, Brick Red Ceramic Tile
botany:ceramicbrick:0, Indigo Ceramic Tile
botany:ceramicbrick:0, Beige Ceramic Tile
botany:ceramicbrick:0, Alice Blue Ceramic Tile
botany:ceramicbrick:0, Pale Yellow Ceramic Tile
botany:ceramicbrick:0, Light Gray Ceramic Tile
botany:ceramicbrick:0, Dark Turquoise Ceramic Tile
botany:ceramicbrick:0, Pale Blue Ceramic Tile
botany:ceramicbrick:0, Lime Ceramic Tile
botany:ceramicbrick:0, Light Green Ceramic Tile
botany:ceramicbrick:0, Magenta Ceramic Tile
botany:ceramicbrick:0, Maroon Ceramic Tile
botany:ceramicbrick:0, Light Mint Ceramic Tile
botany:ceramicbrick:0, Light Purple Ceramic Tile
botany:ceramicbrick:0, Light Slate Ceramic Tile
botany:ceramicbrick:0, Mint Ceramic Tile
botany:ceramicbrick:0, Purple-Red Ceramic Tile
botany:ceramicbrick:0, Pale Rose Ceramic Tile
botany:ceramicbrick:0, Navy Ceramic Tile
botany:ceramicbrick:0, Dark Yellow Ceramic Tile
botany:ceramicbrick:0, Olive Ceramic Tile
botany:ceramicbrick:0, Orange Ceramic Tile
botany:ceramicbrick:0, Pale Green Ceramic Tile
botany:ceramicbrick:0, Pale Turquoise Ceramic Tile
botany:ceramicbrick:0, Dull Pink Ceramic Tile
botany:ceramicbrick:0, Tan Ceramic Tile
botany:ceramicbrick:0, Pale Pink Ceramic Tile
botany:ceramicbrick:0, Light Mauve Ceramic Tile
botany:ceramicbrick:0, Dark Purple Ceramic Tile
botany:ceramicbrick:0, Red Ceramic Tile
botany:ceramicbrick:0, Dull Red Ceramic Tile
botany:ceramicbrick:0, Royal Blue Ceramic Tile
botany:ceramicbrick:0, Salmon Ceramic Tile
botany:ceramicbrick:0, Pale Brown Ceramic Tile
botany:ceramicbrick:0, Dark Mint Ceramic Tile
botany:ceramicbrick:0, Brown Ceramic Tile
botany:ceramicbrick:0, Sky Blue Ceramic Tile
botany:ceramicbrick:0, Slate Blue Ceramic Tile
botany:ceramicbrick:0, Slate Ceramic Tile
botany:ceramicbrick:0, Spring Green Ceramic Tile
botany:ceramicbrick:0, Steel Blue Ceramic Tile
botany:ceramicbrick:0, Pale Tan Ceramic Tile
botany:ceramicbrick:0, Teal Ceramic Tile
botany:ceramicbrick:0, Pale Purple Ceramic Tile
botany:ceramicbrick:0, Light Turquoise Ceramic Tile
botany:ceramicbrick:0, Mauve Ceramic Tile
botany:ceramicbrick:0, Pale Orange Ceramic Tile
botany:ceramicbrick:0, White Ceramic Tile
botany:ceramicbrick:0, Yellow Ceramic Tile
botany:ceramicbrick:0, Yellow-Green Ceramic Tile
botany:ceramicbrick:0, Red-Brown & Gold Ceramic Bricks
botany:ceramicbrick:0, Red-Brown & Gold Striped Ceramic Bricks
botany:ceramicbrick:0, Red-Brown & Gold Large Ceramic Bricks
botany:ceramicbrick:0, Red-Brown & Gold Split Ceramic Tile
botany:ceramicbrick:0, Red-Brown & Gold Chequered Ceramic Tile
botany:ceramicbrick:0, Red-Brown & Gold Mixed Ceramic Tile
botany:ceramicbrick:0, Red-Brown & Gold Vertical Ceramic Bricks
botany:ceramicbrick:0, Red-Brown & Gold Vertical Striped Ceramic Bricks
botany:ceramicbrick:0, Red-Brown & Gold Large Vertical Ceramic Bricks
botany:ceramicbrick:0, Gold Split Ceramic Tile
botany:ceramicbrick:0, Red-Brown Chequered Ceramic Tile
botany:ceramicbrick:0, Gold & Red-Brown Large Ceramic Bricks
botany:pigment:0, Aquamarine Pigment
botany:pigment:1, Black Pigment
botany:pigment:2, Deep Blue Pigment
botany:pigment:3, Red-Brown Pigment
botany:pigment:4, Dull Blue Pigment
botany:pigment:5, Light Brown Pigment
botany:pigment:6, Coral Pigment
botany:pigment:7, Crimson Pigment
botany:pigment:8, Cyan Pigment
botany:pigment:9, Dark Bronze Pigment
botany:pigment:10, Gray Pigment
botany:pigment:11, Dark Green Pigment
botany:pigment:12, Dark Beige Pigment
botany:pigment:13, Dark Olive Pigment
botany:pigment:14, Red-Orange Pigment
botany:pigment:15, Dark Salmon Pigment
botany:pigment:16, Dull Green Pigment
botany:pigment:17, Dark Slate Pigment
botany:pigment:18, Dark Teal Pigment
botany:pigment:19, Turquoise Pigment
botany:pigment:20, Purple Pigment
botany:pigment:21, Deep Pink Pigment
botany:pigment:22, Light Blue Pigment
botany:pigment:23, Dark Gray Pigment
botany:pigment:24, Blue Pigment
botany:pigment:25, Gold Pigment
botany:pigment:26, Bronze Pigment
botany:pigment:27, Dim Gray Pigment
botany:pigment:28, Green Pigment
botany:pigment:29, Pink Pigment
botany:pigment:30, Brick Red Pigment
botany:pigment:31, Indigo Pigment
botany:pigment:32, Beige Pigment
botany:pigment:33, Alice Blue Pigment
botany:pigment:34, Pale Yellow Pigment
botany:pigment:35, Light Gray Pigment
botany:pigment:36, Dark Turquoise Pigment
botany:pigment:37, Pale Blue Pigment
botany:pigment:38, Lime Pigment
botany:pigment:39, Light Green Pigment
botany:pigment:40, Magenta Pigment
botany:pigment:41, Maroon Pigment
botany:pigment:42, Light Mint Pigment
botany:pigment:43, Light Purple Pigment
botany:pigment:44, Light Slate Pigment
botany:pigment:45, Mint Pigment
botany:pigment:46, Purple-Red Pigment
botany:pigment:47, Pale Rose Pigment
botany:pigment:48, Navy Pigment
botany:pigment:49, Dark Yellow Pigment
botany:pigment:50, Olive Pigment
botany:pigment:51, Orange Pigment
botany:pigment:52, Pale Green Pigment
botany:pigment:53, Pale Turquoise Pigment
botany:pigment:54, Dull Pink Pigment
botany:pigment:55, Tan Pigment
botany:pigment:56, Pale Pink Pigment
botany:pigment:57, Light Mauve Pigment
botany:pigment:58, Dark Purple Pigment
botany:pigment:59, Red Pigment
botany:pigment:60, Dull Red Pigment
botany:pigment:61, Royal Blue Pigment
botany:pigment:62, Salmon Pigment
botany:pigment:63, Pale Brown Pigment
botany:pigment:64, Dark Mint Pigment
botany:pigment:65, Brown Pigment
botany:pigment:66, Sky Blue Pigment
botany:pigment:67, Slate Blue Pigment
botany:pigment:68, Slate Pigment
botany:pigment:69, Spring Green Pigment
botany:pigment:70, Steel Blue Pigment
botany:pigment:71, Pale Tan Pigment
botany:pigment:72, Teal Pigment
botany:pigment:73, Pale Purple Pigment
botany:pigment:74, Light Turquoise Pigment
botany:pigment:75, Mauve Pigment
botany:pigment:76, Pale Orange Pigment
botany:pigment:77, White Pigment
botany:pigment:78, Yellow Pigment
botany:pigment:79, Yellow-Green Pigment
botany:clay:0, Aquamarine Clay
botany:clay:1, Black Clay
botany:clay:2, Deep Blue Clay
botany:clay:3, Red-Brown Clay
botany:clay:4, Dull Blue Clay
botany:clay:5, Light Brown Clay
botany:clay:6, Coral Clay
botany:clay:7, Crimson Clay
botany:clay:8, Cyan Clay
botany:clay:9, Dark Bronze Clay
botany:clay:10, Gray Clay
botany:clay:11, Dark Green Clay
botany:clay:12, Dark Beige Clay
botany:clay:13, Dark Olive Clay
botany:clay:14, Red-Orange Clay
botany:clay:15, Dark Salmon Clay
botany:clay:16, Dull Green Clay
botany:clay:17, Dark Slate Clay
botany:clay:18, Dark Teal Clay
botany:clay:19, Turquoise Clay
botany:clay:20, Purple Clay
botany:clay:21, Deep Pink Clay
botany:clay:22, Light Blue Clay
botany:clay:23, Dark Gray Clay
botany:clay:24, Blue Clay
botany:clay:25, Gold Clay
botany:clay:26, Bronze Clay
botany:clay:27, Dim Gray Clay
botany:clay:28, Green Clay
botany:clay:29, Pink Clay
botany:clay:30, Brick Red Clay
botany:clay:31, Indigo Clay
botany:clay:32, Beige Clay
botany:clay:33, Alice Blue Clay
botany:clay:34, Pale Yellow Clay
botany:clay:35, Light Gray Clay
botany:clay:36, Dark Turquoise Clay
botany:clay:37, Pale Blue Clay
botany:clay:38, Lime Clay
botany:clay:39, Light Green Clay
botany:clay:40, Magenta Clay
botany:clay:41, Maroon Clay
botany:clay:42, Light Mint Clay
botany:clay:43, Light Purple Clay
botany:clay:44, Light Slate Clay
botany:clay:45, Mint Clay
botany:clay:46, Purple-Red Clay
botany:clay:47, Pale Rose Clay
botany:clay:48, Navy Clay
botany:clay:49, Dark Yellow Clay
botany:clay:50, Olive Clay
botany:clay:51, Orange Clay
botany:clay:52, Pale Green Clay
botany:clay:53, Pale Turquoise Clay
botany:clay:54, Dull Pink Clay
botany:clay:55, Tan Clay
botany:clay:56, Pale Pink Clay
botany:clay:57, Light Mauve Clay
botany:clay:58, Dark Purple Clay
botany:clay:59, Red Clay
botany:clay:60, Dull Red Clay
botany:clay:61, Royal Blue Clay
botany:clay:62, Salmon Clay
botany:clay:63, Pale Brown Clay
botany:clay:64, Dark Mint Clay
botany:clay:65, Brown Clay
botany:clay:66, Sky Blue Clay
botany:clay:67, Slate Blue Clay
botany:clay:68, Slate Clay
botany:clay:69, Spring Green Clay
botany:clay:70, Steel Blue Clay
botany:clay:71, Pale Tan Clay
botany:clay:72, Teal Clay
botany:clay:73, Pale Purple Clay
botany:clay:74, Light Turquoise Clay
botany:clay:75, Mauve Clay
botany:clay:76, Pale Orange Clay
botany:clay:77, White Clay
botany:clay:78, Yellow Clay
botany:clay:79, Yellow-Green Clay
botany:misc_ceramic:0, Mortar
botany:machine:0, Tileworker
botany:plant:0, Weed
botany:plant:1, Weed Long
botany:plant:2, Weed Very Long
botany:plant:3, Dead Flower
botany:plant:4, Decaying Flower
botany:soil:0, Soil
botany:soil:1, Soil
botany:soil:2, Soil
botany:soil:3, Soil
botany:soil:4, Soil
botany:soil:5, Soil
botany:soil:6, Soil
botany:soil:7, Soil
botany:soil:8, Soil
botany:loam:0, Loam
botany:loam:1, Loam
botany:loam:2, Loam
botany:loam:3, Loam
botany:loam:4, Loam
botany:loam:5, Loam
botany:loam:6, Loam
botany:loam:7, Loam
botany:loam:8, Loam
botany:flowerbed:0, Flowerbed
botany:flowerbed:1, Flowerbed
botany:flowerbed:2, Flowerbed
botany:flowerbed:3, Flowerbed
botany:flowerbed:4, Flowerbed
botany:flowerbed:5, Flowerbed
botany:flowerbed:6, Flowerbed
botany:flowerbed:7, Flowerbed
botany:flowerbed:8, Flowerbed
botany:soil_no_weed:0, Soil
botany:soil_no_weed:1, Soil
botany:soil_no_weed:2, Soil
botany:soil_no_weed:3, Soil
botany:soil_no_weed:4, Soil
botany:soil_no_weed:5, Soil
botany:soil_no_weed:6, Soil
botany:soil_no_weed:7, Soil
botany:soil_no_weed:8, Soil
botany:loam_no_weed:0, Loam
botany:loam_no_weed:1, Loam
botany:loam_no_weed:2, Loam
botany:loam_no_weed:3, Loam
botany:loam_no_weed:4, Loam
botany:loam_no_weed:5, Loam
botany:loam_no_weed:6, Loam
botany:loam_no_weed:7, Loam
botany:loam_no_weed:8, Loam
botany:flowerbed_no_weed:0, Flowerbed
botany:flowerbed_no_weed:1, Flowerbed
botany:flowerbed_no_weed:2, Flowerbed
botany:flowerbed_no_weed:3, Flowerbed
botany:flowerbed_no_weed:4, Flowerbed
botany:flowerbed_no_weed:5, Flowerbed
botany:flowerbed_no_weed:6, Flowerbed
botany:flowerbed_no_weed:7, Flowerbed
botany:flowerbed_no_weed:8, Flowerbed
botany:soil_meter, Soil Meter
botany:trowel_wood, Wooden Trowel
botany:trowel_stone, Stone Trowel
botany:trowel_iron, Iron Trowel
botany:trowel_diamond, Diamond Trowel
botany:trowel_gold, Gold Trowel
botany:misc:0, Ash Powder
botany:misc:1, Wood Pulp Powder
botany:misc:2, Mulch Powder
botany:misc:3, Sulphur Powder
botany:misc:4, Fertilizer Powder
botany:misc:5, Compost Powder
botany:misc:6, Mortar
botany:misc:7, Weedkiller
botany:botanist_bag, Botanist's Backpack
botany:insulated_tube:0, Copper Clay Insulated Electron Tube
botany:insulated_tube:128, Copper Cobblestone Insulated Electron Tube
botany:insulated_tube:256, Copper Sandstone Insulated Electron Tube
botany:insulated_tube:384, Copper Hardened Clay Insulated Electron Tube
botany:insulated_tube:512, Copper Smooth Stone Insulated Electron Tube
botany:insulated_tube:640, Copper Sandstone Insulated Electron Tube
botany:insulated_tube:1, Tin Clay Insulated Electron Tube
botany:insulated_tube:129, Tin Cobblestone Insulated Electron Tube
botany:insulated_tube:257, Tin Sandstone Insulated Electron Tube
botany:insulated_tube:385, Tin Hardened Clay Insulated Electron Tube
botany:insulated_tube:513, Tin Smooth Stone Insulated Electron Tube
botany:insulated_tube:641, Tin Sandstone Insulated Electron Tube
botany:insulated_tube:2, Bronze Clay Insulated Electron Tube
botany:insulated_tube:130, Bronze Cobblestone Insulated Electron Tube
botany:insulated_tube:258, Bronze Sandstone Insulated Electron Tube
botany:insulated_tube:386, Bronze Hardened Clay Insulated Electron Tube
botany:insulated_tube:514, Bronze Smooth Stone Insulated Electron Tube
botany:insulated_tube:642, Bronze Sandstone Insulated Electron Tube
botany:insulated_tube:3, Iron Clay Insulated Electron Tube
botany:insulated_tube:131, Iron Cobblestone Insulated Electron Tube
botany:insulated_tube:259, Iron Sandstone Insulated Electron Tube
botany:insulated_tube:387, Iron Hardened Clay Insulated Electron Tube
botany:insulated_tube:515, Iron Smooth Stone Insulated Electron Tube
botany:insulated_tube:643, Iron Sandstone Insulated Electron Tube
botany:database:0, Botanist Database
botany:database:1, Master Botanist Database
extrabees:honey_crystal, item.honey_crystal.name
extrabees:honey_drop:0, Energy Drop
extrabees:honey_drop:1, Acidic Drop
extrabees:honey_drop:2, Venomous Drop
extrabees:honey_drop:3, Juicy Drop
extrabees:honey_drop:5, Kelvin Drop
extrabees:honey_drop:6, Milkdew
extrabees:honey_drop:7, Nutdew
extrabees:honey_drop:8, Tipsy Drop
extrabees:honey_drop:13, Red Tinted Honey
extrabees:honey_drop:14, Yellow Tinted Honey
extrabees:honey_drop:15, Blue Tinted Honey
extrabees:honey_drop:16, Green Tinted Honey
extrabees:honey_drop:17, Black Tinted Honey
extrabees:honey_drop:18, White Tinted Honey
extrabees:honey_drop:19, Brown Tinted Honey
extrabees:honey_drop:20, Orange Tinted Honey
extrabees:honey_drop:21, Cyan Tinted Honey
extrabees:honey_drop:22, Purple Tinted Honey
extrabees:honey_drop:23, Gray Tinted Honey
extrabees:honey_drop:24, Light Blue Tinted Honey
extrabees:honey_drop:25, Pink Tinted Honey
extrabees:honey_drop:26, Lime Green Tinted Honey
extrabees:honey_drop:27, Magenta Tinted Honey
extrabees:honey_drop:28, Light Gray Tinted Honey
extrabees:honey_comb:0, Barren Comb
extrabees:honey_comb:1, Rotten Comb
extrabees:honey_comb:2, Bone Comb
extrabees:honey_comb:3, Oily Comb
extrabees:honey_comb:4, Fossilised Comb
extrabees:honey_comb:5, Petroleum Comb
extrabees:honey_comb:6, Damp Comb
extrabees:honey_comb:7, Milky Comb
extrabees:honey_comb:8, Fruity Comb
extrabees:honey_comb:9, Seedy Comb
extrabees:honey_comb:10, Alcoholic Comb
extrabees:honey_comb:11, Rocky Comb
extrabees:honey_comb:12, Energetic Comb
extrabees:honey_comb:13, Amber Comb
extrabees:honey_comb:14, Static Comb
extrabees:honey_comb:15, Iron Comb
extrabees:honey_comb:16, Golden Comb
extrabees:honey_comb:17, Copper Comb
extrabees:honey_comb:18, Tin Comb
extrabees:honey_comb:19, Silver Comb
extrabees:honey_comb:21, Radioactive Comb
extrabees:honey_comb:22, Clay Comb
extrabees:honey_comb:23, Old Comb
extrabees:honey_comb:24, Fungal Comb
extrabees:honey_comb:25, Tar Comb
extrabees:honey_comb:26, Latex Comb
